-nan -nan
1.000 0.998
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.917 0.851
0.897 0.750
0.877 0.750
0.843 0.750
0.833 0.750
0.843 0.750
0.844 0.750
0.843 0.750
0.844 0.750
0.854 0.815
0.762 0.250
0.750 -nan
0.786 0.250
0.832 0.250
0.844 0.250
0.843 0.250
0.844 0.250
0.843 0.250
0.913 0.250
0.875 0.250
0.821 0.773
0.843 0.831
0.844 0.836
0.843 0.831
0.844 0.831
0.843 0.812
0.897 0.585
0.995 0.816
0.943 0.250
0.897 -nan
0.935 -nan
0.916 -nan
0.917 0.250
0.931 0.250
0.759 0.810
0.750 0.750
0.750 0.750
0.750 0.467
0.750 0.250
0.893 0.455
0.918 0.250
0.750 0.250
0.750 -nan
0.513 0.505
0.928 0.563
0.741 0.980
0.750 0.433
0.729 0.750
0.946 0.907
