-nan -nan
0.500 0.500
0.500 0.500
0.610 0.500
0.500 0.609
0.767 0.500
0.575 0.807
0.629 0.500
0.726 0.739
0.799 0.590
0.750 0.924
0.745 0.750
0.786 0.745
1.000 0.818
0.821 0.991
0.750 0.796
0.786 0.750
1.000 0.818
0.998 1.000
0.901 0.923
0.749 0.629
0.964 0.499
0.960 0.735
0.980 0.739
0.990 0.742
0.957 0.713
0.974 0.718
0.978 0.490
0.902 0.484
0.993 0.700
0.957 0.636
0.927 0.741
0.986 0.708
0.728 0.754
0.730 0.615
0.774 0.500
0.734 0.821
0.749 0.500
0.779 0.500
0.750 0.628
0.717 0.499
0.835 0.500
0.722 0.528
0.740 0.500
0.898 0.500
0.740 0.742
0.722 0.499
0.905 0.681
0.908 0.730
0.731 0.496
0.962 0.739
0.944 0.435
0.899 0.996
0.868 0.852
0.717 0.838
0.987 0.741
0.964 0.857
0.832 0.597
0.732 0.828
0.736 0.739
0.851 0.745
0.978 0.890
0.855 0.984
0.745 0.859
0.713 0.747
0.979 0.729
0.974 0.998
0.985 0.989
0.985 0.999
0.883 0.969
0.989 0.886
0.994 0.990
0.954 0.983
0.983 0.962
0.992 0.976
0.978 0.976
0.997 0.997
0.957 0.981
0.979 0.969
0.944 0.964
0.988 0.994
0.980 0.995
0.927 0.996
0.961 0.991
0.992 0.983
0.976 0.966
0.993 0.993
0.976 0.997
0.978 0.982
0.983 0.977
0.985 0.990
0.985 0.737
0.985 0.747
0.975 0.752
0.966 0.670
0.998 0.992
0.962 0.980
0.979 0.971
0.988 0.985
0.967 0.978
0.996 0.960
0.993 0.998
0.985 0.987
0.981 0.978
0.990 0.986
0.987 0.996
0.968 0.999
0.981 0.996
0.948 0.985
0.977 0.956
0.983 0.994
0.920 0.997
0.967 0.940
0.974 0.980
0.972 0.995
0.947 0.960
0.987 0.996
0.991 0.781
0.976 0.742
0.970 0.771
0.980 0.996
0.967 0.960
0.993 0.984
0.987 0.968
0.950 0.982
0.953 0.939
0.987 0.991
0.985 0.988
0.983 0.975
0.962 0.983
0.930 0.949
0.989 0.974
0.969 0.995
0.958 0.970
0.989 0.738
0.997 0.743
0.961 0.842
0.785 0.693
0.995 0.916
0.987 0.998
0.799 0.911
0.991 0.929
0.995 0.990
0.831 0.885
0.977 0.950
0.998 0.987
0.829 0.910
0.989 0.941
0.993 0.993
0.872 0.909
0.940 0.944
0.976 0.957
0.950 0.970
0.892 0.945
0.969 0.954
0.986 0.961
0.920 0.964
0.970 0.957
0.956 0.913
0.947 0.966
0.947 0.962
0.930 0.922
0.975 0.969
0.925 0.953
0.972 0.920
0.954 0.977
0.893 0.937
0.968 0.891
0.953 0.749
0.970 0.720
0.940 0.692
0.987 0.749
0.975 0.736
0.970 0.709
0.964 0.747
0.971 0.722
0.931 0.694
0.984 0.721
0.966 0.742
0.962 0.702
0.962 0.723
0.949 0.742
0.955 0.686
0.971 0.737
0.955 0.730
0.962 0.719
0.981 0.731
0.989 0.737
0.955 0.734
0.968 0.739
0.989 0.726
0.915 0.505
0.963 0.470
0.977 0.475
0.990 0.686
0.976 0.568
0.981 0.710
0.984 0.734
0.987 0.727
0.949 0.739
