+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +2.90035e+06ns +557760ns +0ns +0ns
+0ns +0ns +0ns +9.10742e+06ns +1.36253e+06ns +0ns +0ns
+0ns +0ns +0ns +3.87245e+07ns +645408ns +0ns +0ns
+0ns +1.96092e+07ns +0ns +6.11544e+07ns +1.44938e+07ns +2.00794e+06ns +0ns
+0ns +7.52179e+07ns +0ns +9.28113e+07ns +4.39196e+07ns +2.79199e+07ns +0ns
+0ns +1.49575e+08ns +0ns +1.00827e+08ns +1.14787e+08ns +6.70587e+07ns +0ns
+0ns +1.68125e+08ns +0ns +1.18891e+08ns +2.29407e+08ns +4.52981e+07ns +0ns
+0ns +1.42117e+08ns +0ns +1.38603e+08ns +3.07812e+08ns +7.87238e+07ns +0ns
+0ns +1.55758e+08ns +0ns +1.43806e+08ns +2.93159e+08ns +1.23233e+08ns +0ns
+0ns +1.17926e+08ns +0ns +1.70619e+08ns +1.85551e+08ns +1.70515e+08ns +0ns
+0ns +9.58391e+07ns +0ns +1.89702e+08ns +1.92618e+08ns +1.7885e+08ns +0ns
+0ns +8.3903e+07ns +0ns +1.77846e+08ns +2.38403e+08ns +2.67868e+08ns +0ns
+0ns +1.44093e+08ns +0ns +1.15169e+08ns +3.17923e+08ns +2.36681e+08ns +0ns
+0ns +1.59296e+08ns +0ns +8.3903e+06ns +3.21716e+08ns +2.99039e+08ns +0ns
+0ns +1.15289e+08ns +0ns +0ns +2.9029e+08ns +2.38084e+08ns +0ns
+0ns +9.15683e+07ns +0ns +0ns +2.15263e+08ns +2.34729e+08ns +0ns
+0ns +6.79352e+07ns +0ns +0ns +1.8975e+08ns +2.3069e+08ns +0ns
+0ns +6.16723e+06ns +0ns +0ns +1.92093e+08ns +2.51637e+08ns +0ns
+0ns +1.34101e+07ns +0ns +0ns +1.74404e+08ns +2.50195e+08ns +0ns
+0ns +1.33623e+07ns +0ns +0ns +1.35066e+08ns +2.96888e+08ns +0ns
+0ns +7.60147e+06ns +0ns +0ns +1.56731e+08ns +2.90952e+08ns +0ns
+0ns +1.98403e+07ns +0ns +0ns +1.87726e+08ns +2.19502e+08ns +0ns
+0ns +2.92585e+07ns +0ns +4.86048e+06ns +2.03232e+08ns +2.05885e+08ns +0ns
+0ns +6.47002e+06ns +0ns +0ns +2.13654e+08ns +2.70211e+08ns +0ns
+0ns +940224ns +0ns +0ns +2.09734e+08ns +2.93637e+08ns +0ns
+0ns +2.90035e+06ns +0ns +1.52268e+07ns +1.60754e+08ns +2.98848e+08ns +0ns
+0ns +2.8884e+07ns +0ns +0ns +1.57049e+08ns +2.80019e+08ns +0ns
+0ns +4.66845e+07ns +0ns +0ns +1.98881e+08ns +2.29239e+08ns +0ns
+0ns +3.59755e+07ns +0ns +7.72896e+06ns +2.639e+08ns +2.25893e+08ns +0ns
+0ns +3.92822e+07ns +0ns +0ns +3.29636e+08ns +2.21965e+08ns +0ns
+0ns +3.51389e+07ns +0ns +0ns +3.60154e+08ns +1.96666e+08ns +0ns
+0ns +4.7808e+07ns +0ns +3.73699e+06ns +3.62592e+08ns +1.65655e+08ns +0ns
+0ns +5.50429e+07ns +0ns +2.22626e+07ns +3.8844e+08ns +1.16747e+08ns +0ns
+0ns +7.63016e+07ns +0ns +0ns +3.66377e+08ns +4.94653e+07ns +0ns
+0ns +6.31464e+07ns +0ns +1.16333e+06ns +3.31309e+08ns +0ns +0ns
+0ns +2.35773e+07ns +0ns +2.06132e+07ns +2.99182e+08ns +0ns +0ns
+0ns +4.72821e+07ns +0ns +0ns +3.66225e+08ns +3.28919e+07ns +0ns
+0ns +6.97837e+07ns +0ns +1.27488e+06ns +4.21125e+08ns +0ns +0ns
+0ns +6.23098e+07ns +0ns +3.44218e+06ns +4.00535e+08ns +0ns +0ns
+0ns +6.88435e+07ns +0ns +0ns +3.15732e+08ns +0ns +0ns
+0ns +4.71706e+07ns +0ns +0ns +2.53167e+08ns +0ns +0ns
+0ns +2.96728e+07ns +0ns +0ns +2.67725e+08ns +4.11149e+06ns +0ns
+0ns +7.55366e+07ns +0ns +8.60544e+06ns +3.41827e+08ns +2.9641e+06ns +0ns
+0ns +8.61819e+07ns +0ns +2.18562e+07ns +3.60887e+08ns +0ns +0ns
+0ns +5.20788e+07ns +0ns +2.35056e+06ns +3.51277e+08ns +0ns +0ns
+0ns +1.12349e+07ns +0ns +1.55376e+06ns +3.41349e+08ns +0ns +0ns
