+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +0ns +0ns +0ns +0ns
+0ns +0ns +0ns +8.48592e+06ns +0ns +0ns +0ns
+0ns +0ns +0ns +2.17526e+07ns +0ns +0ns +0ns
+0ns +0ns +0ns +4.61825e+07ns +0ns +0ns +0ns
+0ns +1.9426e+07ns +0ns +5.06765e+07ns +1.49161e+07ns +6.50986e+06ns +0ns
+0ns +7.28514e+07ns +0ns +7.47398e+07ns +5.29155e+07ns +3.17047e+07ns +0ns
+0ns +1.08094e+08ns +0ns +9.95363e+07ns +1.28006e+08ns +7.96481e+07ns +0ns
+0ns +1.29584e+08ns +0ns +1.10596e+08ns +2.45574e+08ns +4.9306e+07ns +0ns
+0ns +9.70502e+07ns +0ns +1.48603e+08ns +3.00186e+08ns +9.46598e+07ns +0ns
+0ns +1.46611e+08ns +0ns +1.41934e+08ns +2.86466e+08ns +1.45575e+08ns +0ns
+0ns +1.45304e+08ns +0ns +1.80077e+08ns +1.98786e+08ns +1.50922e+08ns +0ns
+0ns +1.54898e+08ns +0ns +1.79965e+08ns +2.07662e+08ns +1.90276e+08ns +0ns
+0ns +1.43057e+08ns +0ns +1.8038e+08ns +2.53056e+08ns +2.81111e+08ns +0ns
+0ns +1.60077e+08ns +0ns +1.1211e+08ns +3.45445e+08ns +2.36825e+08ns +0ns
+0ns +1.64372e+08ns +0ns +0ns +3.16887e+08ns +3.08266e+08ns +0ns
+0ns +8.24688e+07ns +0ns +0ns +3.05812e+08ns +2.64665e+08ns +0ns
+0ns +7.7178e+07ns +0ns +0ns +2.15853e+08ns +2.48665e+08ns +0ns
+0ns +5.1537e+07ns +0ns +0ns +1.88045e+08ns +2.17861e+08ns +0ns
+0ns +5.09952e+07ns +0ns +0ns +1.62149e+08ns +2.51892e+08ns +0ns
+0ns +4.21667e+07ns +0ns +0ns +1.62866e+08ns +2.57701e+08ns +0ns
+0ns +5.55688e+07ns +0ns +0ns +1.45209e+08ns +2.87422e+08ns +0ns
+0ns +4.60232e+07ns +0ns +0ns +1.57288e+08ns +2.90083e+08ns +0ns
+0ns +7.50984e+07ns +0ns +0ns +1.76125e+08ns +2.09272e+08ns +0ns
+0ns +6.19592e+07ns +0ns +0ns +2.08355e+08ns +2.24315e+08ns +0ns
+0ns +3.17923e+07ns +0ns +0ns +2.29558e+08ns +2.58522e+08ns +0ns
+0ns +3.11947e+07ns +0ns +0ns +2.04618e+08ns +3.00712e+08ns +0ns
+0ns +7.3943e+07ns +0ns +1.00795e+07ns +1.6673e+08ns +2.93525e+08ns +0ns
+0ns +1.01544e+08ns +0ns +0ns +1.57193e+08ns +2.87222e+08ns +0ns
+0ns +9.57116e+07ns +0ns +0ns +2.09112e+08ns +2.2422e+08ns +0ns
+0ns +8.07238e+07ns +0ns +8.84448e+06ns +2.67964e+08ns +2.08762e+08ns +0ns
+0ns +8.50584e+07ns +0ns +0ns +3.25819e+08ns +2.75318e+08ns +0ns
+0ns +8.41421e+07ns +0ns +0ns +3.62321e+08ns +2.11056e+08ns +0ns
+0ns +9.44686e+07ns +0ns +2.43821e+06ns +3.25294e+08ns +2.1712e+08ns +0ns
+0ns +9.08033e+07ns +0ns +1.90754e+07ns +3.5668e+08ns +2.3916e+08ns +0ns
+0ns +1.29018e+08ns +0ns +0ns +3.30991e+08ns +1.78483e+08ns +0ns
+0ns +1.0846e+08ns +0ns +1.82308e+07ns +3.47373e+08ns +8.15525e+07ns +0ns
+0ns +9.43411e+07ns +0ns +5.5529e+07ns +4.01085e+08ns +0ns +0ns
+0ns +9.99665e+07ns +0ns +8.1911e+06ns +4.07173e+08ns +0ns +0ns
+0ns +5.78716e+07ns +0ns +0ns +3.96615e+08ns +1.33862e+07ns +0ns
+0ns +8.33851e+07ns +0ns +6.52579e+06ns +4.03221e+08ns +1.24938e+07ns +0ns
+0ns +1.27329e+08ns +0ns +1.0462e+07ns +3.64656e+08ns +0ns +0ns
+0ns +1.14341e+08ns +0ns +2.07168e+06ns +3.25652e+08ns +0ns +0ns
+0ns +5.24135e+07ns +0ns +0ns +3.11772e+08ns +0ns +0ns
+0ns +6.70587e+07ns +0ns +326688ns +2.60697e+08ns +0ns +0ns
+0ns +9.25722e+07ns +0ns +6.50189e+06ns +3.11055e+08ns +4.22304e+06ns +0ns
+0ns +1.40946e+08ns +0ns +8.31062e+06ns +3.72249e+08ns +5.976e+06ns +0ns
+0ns +1.1815e+08ns +0ns +7.84848e+06ns +4.46941e+08ns +0ns +0ns
