-nan -nan
1.000 0.998
1.000 1.000
1.000 1.000
1.000 1.000
0.977 0.990
0.996 0.974
0.994 0.999
0.996 1.000
0.992 0.992
0.994 0.876
0.985 0.481
0.986 0.486
0.939 0.487
0.957 0.675
0.966 0.518
0.974 0.742
0.986 0.742
0.942 0.733
0.978 0.735
0.930 0.734
0.986 0.748
0.735 0.423
0.752 0.756
0.750 0.762
0.750 0.750
0.794 0.796
0.833 0.841
0.848 0.794
0.772 0.880
0.989 0.977
0.898 0.934
0.973 0.959
0.999 0.986
0.945 0.964
0.975 0.958
0.961 0.955
0.960 0.958
0.990 0.987
0.970 0.982
0.955 0.950
0.986 0.974
0.970 0.971
0.978 0.971
0.972 0.979
0.963 0.966
0.969 0.982
0.986 0.983
0.969 0.972
0.969 0.988
0.939 0.960
0.985 0.968
0.984 0.989
0.972 0.975
0.992 0.993
0.985 0.995
0.988 0.988
0.996 0.998
0.972 0.552
0.962 0.496
0.977 0.743
0.983 0.770
0.983 0.977
0.963 0.983
0.991 0.989
0.982 0.978
0.989 0.986
0.961 0.733
0.988 0.737
0.969 0.734
0.966 0.737
0.967 0.724
0.951 0.728
0.971 0.720
0.990 0.744
0.925 0.686
0.989 0.734
0.902 0.704
0.987 0.735
0.976 0.728
0.961 0.719
0.961 0.736
0.974 0.725
0.968 0.719
0.962 0.726
0.972 0.741
0.978 0.725
0.986 0.734
0.963 0.732
0.981 0.722
0.985 0.739
0.935 0.704
0.984 0.742
0.925 0.327
0.744 0.872
0.741 0.773
0.792 0.851
0.837 0.921
0.797 0.839
0.884 0.997
0.986 0.860
0.991 0.965
0.986 0.986
0.987 0.995
0.969 0.988
0.986 0.990
0.950 0.962
0.979 0.984
0.990 0.996
0.921 0.978
0.971 0.944
0.995 0.698
0.976 0.498
0.941 0.738
0.916 0.794
0.978 0.964
0.961 0.756
0.950 0.824
0.964 0.992
0.948 0.940
0.985 0.973
0.984 0.979
0.980 0.983
0.975 0.983
0.987 0.992
0.991 0.989
0.966 0.973
0.973 0.952
0.998 0.988
0.973 0.981
0.966 0.976
0.974 0.968
0.976 0.972
0.992 0.986
0.991 0.989
0.962 0.973
0.993 0.990
0.989 0.992
0.993 0.999
0.989 0.990
0.978 0.986
0.998 0.996
0.985 0.991
0.978 0.972
0.996 0.992
0.993 0.991
0.994 0.994
0.961 0.981
