0 0 0 0
38 38 38 38
80 80 80 75
120 121 120 97
157 158 158 105
197 200 200 116
236 239 239 127
276 277 277 137
316 310 318 148
354 354 352 158
399 389 387 168
442 433 415 179
482 470 456 186
520 504 504 192
555 551 540 199
588 595 583 205
617 638 630 211
644 682 672 217
672 724 713 224
704 766 755 232
737 808 797 240
772 850 839 247
807 891 881 253
842 933 923 260
878 975 964 267
913 1017 1006 273
949 1059 1048 280
986 1101 1090 285
1022 1142 1132 292
1058 1184 1174 299
1093 1226 1215 305
1129 1268 1257 311
1165 1310 1299 317
1201 1352 1341 323
1236 1393 1383 329
1272 1435 1425 335
1308 1477 1466 341
1344 1519 1508 348
1379 1561 1550 354
1415 1603 1592 360
1450 1644 1634 366
1486 1686 1676 372
1522 1728 1717 379
1557 1770 1759 385
1593 1812 1801 391
1629 1854 1843 397
1664 1895 1885 403
1700 1937 1927 409
1736 1979 1968 415
1772 2021 2010 422
1807 2063 2052 428
1805 2067 2056 396
1798 2066 2056 365
1795 2067 2058 349
1795 2072 2061 347
1791 2072 2061 343
1788 2075 2064 337
1786 2079 2068 333
1783 2087 2069 328
1782 2085 2077 324
1774 2092 2083 320
1768 2090 2097 315
1766 2095 2098 313
1766 2103 2092 313
1769 2097 2097 312
1773 2095 2096 311
1783 2091 2091 310
1796 2089 2087 310
1807 2090 2084 308
1816 2091 2079 305
1825 2090 2073 303
1832 2086 2072 301
1838 2088 2066 300
1845 2087 2061 299
1851 2077 2066 297
1856 2076 2064 296
1864 2071 2061 294
1867 2070 2058 295
1875 2068 2053 293
1880 2063 2053 292
1887 2022 2089 291
1893 1982 2092 290
1899 1944 2092 291
1905 1934 2092 293
1912 1935 2091 296
1918 1935 2091 299
1923 1935 2092 301
1929 1935 2092 303
1936 1934 2092 305
1942 1934 2092 307
1949 1935 2091 309
1954 1935 2091 309
1952 1935 2092 309
1953 1935 2092 309
1952 1934 2092 310
1953 1934 2092 309
1954 1935 2091 309
1954 1935 2091 308
1950 1935 2092 308
1946 1935 2092 306
1945 1934 2092 306
1944 1934 2092 305
1945 1935 2091 304
1944 1935 2091 304
1938 1935 2092 304
1917 1935 2092 303
1916 1934 2092 306
1920 1934 2092 309
1924 1935 2091 312
1929 1935 2091 316
1933 1935 2092 321
1926 1935 2092 327
1917 1934 2092 335
1906 1934 2092 344
1895 1935 2092 353
1886 1935 2092 362
1880 1936 2087 372
1879 1930 2084 382
1873 1918 2094 390
1874 1901 2096 404
1877 1890 2094 414
1873 1893 2084 425
1872 1884 2082 437
1874 1880 2071 450
1862 1884 2064 465
1832 1889 2077 477
1808 1896 2080 491
1807 1898 2066 504
1803 1898 2055 519
1806 1887 2047 535
1809 1913 2000 553
1811 1940 1985 571
1808 1967 1975 587
1805 1967 1966 601
1802 1964 1950 614
1800 1945 1943 633
1802 1937 1928 646
1796 1925 1923 660
1790 1920 1912 674
1792 1910 1893 693
1792 1897 1878 713
1799 1878 1866 732
1801 1868 1856 750
1808 1849 1846 772
1810 1845 1829 791
1811 1837 1815 812
1817 1823 1804 831
1817 1816 1795 848
1825 1798 1791 865
1834 1790 1776 884
1845 1773 1766 902
1853 1756 1757 922
1860 1743 1745 941
1868 1731 1730 960
1874 1713 1728 978
1897 1709 1714 994
1886 1693 1711 1023
1884 1683 1700 1037
1874 1679 1695 1048
1875 1670 1673 1068
1873 1663 1657 1082
1876 1655 1649 1095
1890 1646 1632 1107
1881 1640 1626 1128
1882 1631 1619 1143
1882 1627 1610 1156
1880 1629 1595 1171
1857 1630 1607 1181
1844 1623 1607 1201
1822 1631 1610 1212
1797 1627 1623 1228
1778 1609 1640 1248
1756 1620 1640 1259
1732 1624 1641 1278
1720 1626 1638 1291
1729 1615 1619 1312
1712 1612 1618 1333
1675 1614 1635 1351
1643 1615 1646 1371
1626 1627 1643 1379
1615 1629 1639 1392
1600 1629 1649 1397
1588 1634 1652 1401
1584 1629 1659 1403
1577 1628 1667 1403
1579 1638 1657 1401
1576 1640 1652 1407
1580 1635 1649 1411
1584 1622 1657 1412
1571 1631 1667 1406
1567 1632 1675 1401
1561 1634 1681 1399
1565 1632 1680 1398
1561 1643 1680 1391
1555 1633 1685 1402
1552 1641 1689 1393
1554 1634 1701 1386
1544 1631 1708 1392
1544 1633 1709 1389
1534 1633 1723 1385
1522 1641 1729 1383
1519 1647 1726 1383
1520 1648 1722 1385
1520 1647 1730 1378
1524 1658 1717 1376
1531 1648 1721 1375
1548 1657 1710 1360
1551 1659 1708 1357
1580 1654 1696 1345
1591 1660 1705 1319
1594 1666 1717 1298
1601 1668 1715 1291
1600 1665 1719 1291
1611 1671 1720 1273
1625 1670 1713 1267
1637 1664 1710 1264
1638 1664 1719 1254
1657 1656 1708 1254
1684 1656 1692 1244
1706 1656 1674 1239
1723 1668 1656 1229
1744 1677 1638 1216
1770 1660 1632 1214
1792 1648 1633 1202
1820 1635 1624 1197
1836 1624 1629 1186
1876 1617 1617 1166
1909 1602 1613 1151
1937 1595 1608 1136
1946 1589 1612 1128
1950 1589 1619 1118
1952 1585 1614 1124
1962 1588 1605 1121
1954 1590 1597 1134
1960 1589 1588 1139
1946 1592 1595 1142
1940 1584 1609 1143
1929 1592 1611 1143
1918 1600 1609 1149
1920 1589 1609 1157
1907 1592 1615 1162
1894 1601 1609 1171
1893 1593 1609 1181
1883 1583 1620 1189
1888 1583 1620 1185
1886 1571 1618 1200
1877 1581 1606 1212
1883 1576 1599 1217
1879 1572 1592 1233
1876 1568 1586 1245
1875 1576 1580 1245
1856 1584 1586 1249
1842 1581 1598 1255
1826 1588 1588 1273
1814 1588 1590 1284
1792 1600 1593 1290
1782 1597 1594 1303
1764 1595 1599 1317
1740 1595 1599 1342
1718 1584 1594 1379
1710 1577 1582 1407
1697 1579 1579 1420
1689 1579 1579 1429
1688 1564 1576 1447
1675 1563 1584 1454
1665 1556 1584 1470
1667 1546 1580 1483
1658 1542 1587 1488
1647 1543 1580 1505
1634 1545 1581 1515
1627 1543 1581 1524
1615 1541 1582 1537
1597 1548 1590 1540
1578 1559 1589 1549
1566 1558 1595 1556
1559 1563 1583 1570
1546 1561 1590 1578
1535 1563 1588 1589
1531 1552 1592 1600
1526 1549 1582 1618
1520 1550 1576 1629
1519 1554 1576 1626
1515 1548 1576 1636
1518 1548 1575 1634
1512 1542 1577 1644
1515 1528 1579 1653
1514 1526 1574 1661
1514 1523 1573 1665
1518 1516 1565 1676
1517 1514 1561 1683
1529 1505 1548 1693
1530 1499 1552 1694
1521 1514 1550 1690
1524 1514 1539 1698
1519 1516 1542 1698
1519 1511 1544 1701
1515 1516 1537 1707
1519 1524 1530 1702
1515 1536 1526 1698
1512 1545 1523 1695
1514 1536 1525 1700
1525 1523 1522 1705
1526 1535 1514 1700
1532 1530 1522 1691
1525 1527 1521 1702
1532 1535 1508 1700
1539 1538 1515 1683
1539 1539 1518 1679
1530 1550 1519 1676
1528 1557 1519 1671
1524 1557 1521 1673
1526 1556 1523 1670
1517 1563 1524 1671
1526 1560 1524 1665
1564 1549 1520 1642
1583 1562 1524 1606
1591 1569 1538 1577
1597 1577 1524 1577
1595 1585 1524 1571
1598 1585 1528 1564
1604 1586 1524 1561
1605 1589 1528 1553
1610 1585 1526 1554
1618 1578 1531 1548
1607 1591 1529 1548
1611 1596 1528 1540
1609 1597 1521 1548
1609 1592 1516 1558
1608 1604 1511 1552
1604 1607 1526 1538
1608 1614 1531 1522
1601 1627 1523 1524
1600 1628 1526 1521
1597 1626 1524 1528
1593 1624 1529 1529
1586 1634 1529 1526
1584 1630 1532 1529
1580 1631 1527 1537
1578 1641 1528 1528
1573 1642 1530 1530
1559 1654 1537 1525
1558 1655 1533 1529
1560 1643 1530 1542
1553 1652 1535 1535
1551 1644 1536 1544
1537 1647 1541 1550
1539 1636 1551 1549
1534 1626 1562 1553
1534 1629 1560 1552
1535 1622 1564 1554
1536 1617 1554 1568
1532 1627 1544 1572
1526 1616 1556 1577
1519 1610 1560 1586
1524 1606 1561 1584
1520 1584 1572 1599
1507 1584 1571 1613
1506 1586 1562 1621
1499 1580 1568 1628
1497 1574 1576 1628
1492 1570 1570 1643
1496 1551 1571 1657
1497 1544 1568 1666
1489 1546 1567 1673
1452 1559 1564 1700
1425 1562 1560 1728
1412 1555 1547 1761
1402 1550 1550 1773
1390 1549 1564 1772
1381 1545 1568 1781
1370 1530 1579 1796
1368 1526 1573 1808
1363 1521 1570 1821
1352 1521 1565 1837
1365 1506 1574 1830
1357 1503 1578 1837
1359 1500 1585 1831
1364 1497 1587 1827
1361 1491 1586 1837
1361 1489 1575 1850
1351 1486 1572 1866
1354 1473 1579 1869
1344 1478 1581 1872
1342 1489 1572 1872
1337 1485 1582 1871
1335 1482 1589 1869
1327 1483 1589 1876
1332 1456 1601 1886
1330 1450 1596 1899
1335 1445 1595 1900
1338 1444 1593 1900
1332 1455 1598 1890
1331 1463 1598 1883
1344 1458 1595 1878
1345 1463 1592 1875
1355 1465 1589 1866
1351 1472 1582 1870
1342 1476 1587 1870
1333 1470 1599 1873
1330 1474 1593 1878
1317 1481 1599 1878
1314 1474 1610 1877
1310 1476 1604 1885
1300 1480 1604 1891
1293 1488 1604 1890
1301 1493 1606 1875
1298 1497 1603 1877
1300 1492 1607 1876
1304 1495 1602 1874
1302 1499 1598 1876
1301 1502 1606 1866
1291 1515 1610 1859
1289 1521 1615 1850
1285 1524 1612 1854
1275 1530 1617 1853
1279 1516 1615 1865
1273 1516 1622 1864
1278 1517 1622 1858
1278 1518 1611 1868
1286 1520 1611 1858
1315 1540 1601 1819
1329 1548 1615 1783
1338 1555 1631 1751
1349 1549 1639 1738
1344 1561 1629 1741
1348 1566 1631 1730
1348 1564 1622 1741
