-nan -nan
1.000 1.000
0.989 0.993
0.908 0.914
0.875 0.881
0.811 0.847
0.787 0.816
0.854 0.869
0.903 0.894
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.931
0.900 0.499
0.894 0.500
0.900 0.888
0.902 0.872
0.900 0.905
0.902 0.637
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.999
0.902 0.499
0.900 0.499
0.902 0.775
0.900 0.672
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.986
0.900 0.500
0.902 0.500
0.900 0.894
0.902 0.647
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.992
0.900 0.499
0.894 0.499
0.900 0.790
0.903 0.670
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.900 0.900
0.902 0.902
0.900 0.900
0.894 0.897
0.900 0.900
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.984
0.894 0.500
0.900 0.500
0.902 0.852
0.900 0.894
0.902 0.657
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.941
0.903 0.499
0.900 0.500
0.894 0.796
0.900 0.680
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.929
0.894 0.499
0.900 0.500
0.902 0.852
0.900 0.894
0.902 0.670
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.639
0.900 0.499
0.894 0.499
0.900 0.623
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.900 0.900
0.894 0.897
0.900 0.900
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
