-nan -nan
0.250 0.250
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.250 -nan
0.250 -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.356 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.490 0.377
0.377 0.388
0.400 0.388
0.356 0.305
0.436 0.462
0.368 0.368
0.431 0.431
0.471 0.471
0.500 0.500
0.471 0.471
0.450 0.450
0.500 0.250
0.471 0.486
0.490 0.490
0.490 0.500
0.490 0.500
0.490 0.490
0.490 0.490
0.500 0.500
0.500 0.500
0.500 0.500
0.500 0.500
0.500 0.500
0.500 0.500
0.500 0.500
0.481 0.481
0.500 0.481
0.481 0.500
0.481 0.481
0.481 0.481
0.628 0.750
0.450 0.422
0.481 0.481
0.481 0.481
0.500 0.500
0.481 0.481
0.500 0.500
0.481 0.481
0.481 0.450
0.450 0.471
0.514 0.595
0.500 0.250
0.450 0.481
0.481 0.500
0.490 0.471
0.450 0.450
0.490 0.250
0.490 0.481
0.490 0.490
0.481 0.450
0.632 0.440
0.560 0.615
0.450 0.450
0.475 0.250
0.471 0.250
0.450 0.250
0.475 0.250
0.481 0.250
0.368 0.250
0.250 0.250
0.250 0.250
0.450 0.414
0.340 0.372
0.429 0.250
0.371 0.250
0.431 0.250
0.312 -nan
0.308 -nan
0.308 -nan
0.312 -nan
0.376 0.250
0.450 -nan
0.368 0.250
0.288 0.250
0.325 0.464
0.450 0.450
0.544 0.295
0.498 0.250
0.528 0.250
0.329 0.250
0.320 0.250
0.545 0.450
0.291 0.250
0.276 0.250
0.250 0.250
0.361 0.443
0.424 0.382
0.505 0.382
0.561 0.382
0.542 0.331
0.544 0.346
0.496 0.533
0.522 0.400
0.500 0.368
0.368 0.346
0.500 0.368
0.500 0.289
0.481 0.464
0.512 0.512
0.544 0.593
0.545 0.250
0.664 0.400
0.821 0.250
0.568 0.250
0.632 0.481
0.494 0.250
0.615 0.250
0.698 0.250
0.721 0.250
0.579 0.315
0.643 0.583
0.643 0.694
0.583 0.533
0.494 0.494
0.543 0.579
0.721 0.583
0.645 0.727
0.583 0.583
0.568 0.400
0.643 0.450
0.400 0.250
0.694 0.250
0.643 0.250
0.750 0.450
0.450 0.250
0.694 0.250
0.667 0.250
0.750 0.453
0.667 0.667
0.667 0.667
0.667 0.667
0.645 0.287
0.352 0.359
0.291 0.288
0.310 0.250
0.276 0.250
0.351 0.368
0.297 0.297
0.274 0.250
0.275 0.250
0.302 0.327
0.307 0.278
0.340 0.359
0.276 0.273
0.299 0.274
0.335 0.362
0.250 0.250
0.324 0.274
0.352 0.481
0.416 0.250
0.367 0.250
0.395 0.400
0.694 0.250
0.750 0.368
0.750 0.500
0.667 0.450
0.750 0.500
0.750 0.329
0.402 0.272
0.383 0.383
0.383 0.481
0.427 0.382
0.331 0.325
0.314 0.286
0.291 0.271
0.270 0.250
0.327 0.500
0.276 0.250
0.310 0.250
0.281 -nan
0.281 -nan
0.314 -nan
0.279 -nan
0.336 0.250
0.421 -nan
0.962 0.257
0.653 0.694
0.783 0.515
0.582 0.400
0.694 0.494
0.776 0.471
0.857 0.693
0.864 0.698
0.776 0.864
0.880 0.571
0.889 0.880
0.893 0.880
0.889 0.889
0.942 0.889
0.750 0.750
0.900 0.900
0.889 0.942
0.942 0.889
0.900 0.900
0.942 0.900
0.893 0.694
0.694 0.900
0.942 0.942
1.000 1.000
0.942 0.942
0.667 0.667
0.893 0.893
0.900 0.900
1.000 1.000
0.942 0.942
0.750 0.750
0.893 0.893
0.893 0.893
1.000 1.000
0.900 0.900
0.667 0.667
1.000 1.000
1.000 1.000
0.667 0.750
0.893 0.900
0.893 0.893
1.000 1.000
0.750 0.750
0.893 1.000
1.000 0.893
1.000 1.000
0.750 0.750
1.000 1.000
1.000 1.000
0.750 0.750
0.893 1.000
1.000 0.893
0.750 0.750
1.000 1.000
1.000 1.000
0.750 0.750
1.000 0.750
0.750 1.000
0.750 0.750
1.000 1.000
1.000 1.000
0.750 0.750
1.000 1.000
0.750 0.750
0.500 0.250
1.000 0.750
0.667 0.500
0.750 0.500
1.000 0.750
0.893 0.645
0.667 0.667
0.750 0.750
1.000 1.000
0.750 0.750
0.750 0.750
0.667 0.667
1.000 0.750
1.000 0.500
0.750 0.750
1.000 0.645
1.000 1.000
1.000 1.000
0.750 0.500
0.750 1.000
1.000 1.000
0.750 0.750
0.750 0.500
0.750 0.500
0.893 0.645
1.000 1.000
1.000 0.750
0.667 0.667
0.750 1.000
0.500 0.500
1.000 0.500
0.750 0.500
0.694 0.450
0.893 0.645
0.750 0.750
0.750 0.500
0.750 0.750
0.893 0.667
0.750 0.750
0.568 0.568
1.000 0.750
0.645 0.481
0.500 0.500
0.645 0.500
0.750 0.568
0.817 0.727
0.667 0.568
0.568 0.568
0.900 0.694
0.667 0.667
0.893 0.667
0.900 0.645
0.817 0.727
0.893 0.893
0.568 0.568
0.750 0.667
0.893 0.568
0.817 0.750
0.893 0.667
0.500 0.694
0.893 0.893
0.500 0.450
0.667 0.500
0.893 0.450
0.694 0.583
0.893 0.667
0.900 0.893
0.645 0.421
0.481 0.481
0.653 0.400
0.563 0.570
0.783 0.667
0.735 0.667
0.735 0.593
0.840 0.694
0.953 0.496
0.987 0.500
0.864 0.422
0.730 0.465
0.475 0.486
0.400 0.288
0.438 0.450
0.374 0.250
0.331 0.250
0.291 0.468
0.301 0.318
0.287 0.287
0.327 0.300
0.250 0.250
0.250 0.250
0.250 0.250
0.481 0.331
0.368 0.368
0.481 0.250
0.500 0.422
0.450 0.422
0.481 0.481
0.549 0.658
0.464 0.450
0.694 0.450
