-nan -nan
1.000 1.000
0.996 0.999
0.999 0.998
0.990 0.992
0.999 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
0.999 1.000
0.999 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 1.000
0.999 1.000
0.999 0.999
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
0.999 1.000
0.999 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 1.000
0.999 1.000
0.999 0.999
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
0.999 1.000
0.999 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 1.000
0.999 1.000
0.999 0.999
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.999 1.000
1.000 0.999
0.999 1.000
1.000 0.999
1.000 1.000
1.000 1.000
1.000 1.000
1.000 1.000
